,Unnamed: 0,month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
1629,1629,May,1690351,4866532,2019-05-27 20:42:00,2019-05-27 20:52:00,0:09:23,"2550 Central Ave NE, Albuquerque, NM 87106, USA","3205 Central Ave NE, Albuquerque, NM 87106, USA",36403607,1562676
1630,1630,May,1690385,5265721,2019-05-27 20:44:00,2019-05-27 21:22:00,0:38:00,"Jones Motor Co., Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",35826989,1563309
1631,1631,May,1690414,4021313,2019-05-27 20:45:00,2019-05-27 21:23:00,0:37:18,"Jones Motor Co., Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36396075,1563316
1632,1632,May,1690440,9027928,2019-05-27 20:47:00,2019-05-27 20:59:00,0:11:49,"2201 Clayton St SW, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",36356250,1562810
1633,1633,May,1690442,1927218,2019-05-27 20:47:00,2019-05-27 20:59:00,0:11:45,"224 San Pasquale Ave SW, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",35512732,1562809
1634,1634,May,1690444,7989059,2019-05-27 20:47:00,2019-05-27 20:58:00,0:11:18,"1719 Central Ave NW, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",36352917,1562800
1635,1635,May,1690445,3669820,2019-05-27 20:47:00,2019-05-27 20:58:00,0:11:24,"1710 Central Ave SW, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",35512965,1562804
1636,1636,May,1690448,2823415,2019-05-27 20:47:00,2019-05-27 21:05:00,0:17:21,"2901 Central Ave NE, Albuquerque, NM 87106, USA","2901 Central Ave NE, Albuquerque, NM 87106, USA",36401906,1562931
1637,1637,May,1690451,8125312,2019-05-27 20:47:00,2019-05-27 21:02:00,0:14:06,"Central @ New York, Albuquerque, NM 87104, USA","312 Central Ave SW, Albuquerque, NM 87102, USA",35514522,1562862
1638,1638,May,1690461,7111886,2019-05-27 20:48:00,2019-05-27 20:59:00,0:10:45,"524 Central Ave SW, Albuquerque, NM 87102, USA","662 Central Ave NW, Albuquerque, NM 87102, USA",36399297,1562807
1639,1639,May,1690464,3689671,2019-05-27 20:48:00,2019-05-27 21:02:00,0:13:45,"Central @ New York, Albuquerque, NM 87104, USA","111 3rd St NW, Albuquerque, NM 87102, USA",36404228,1562867
1640,1640,May,1690472,4520003,2019-05-27 20:48:00,2019-05-27 21:02:00,0:13:09,"Central @ New York, Albuquerque, NM 87104, USA","311 Central Ave NW, Albuquerque, NM 87102, USA",36402287,1562861
1641,1641,May,1690475,4965027,2019-05-27 20:48:00,2019-05-27 21:05:00,0:16:19,"2901 Central Ave NE, Albuquerque, NM 87106, USA","2901 Central Ave NE, Albuquerque, NM 87106, USA",36405101,1562935
1642,1642,May,1690513,5253646,2019-05-27 20:50:00,2019-05-27 21:25:00,0:34:47,"1800 Mountain Rd NW, Albuquerque, NM 87104, USA","1800 Mountain Rd NW, Albuquerque, NM 87104, USA",36404175,1563355
1643,1643,May,1690532,8084578,2019-05-27 20:51:00,2019-05-28 03:56:00,7:05:15,"312 Tijeras Ave NE, Albuquerque, NM 87102, USA",,36153607,1568769
1644,1644,May,1690548,5398061,2019-05-27 20:52:00,2019-05-27 21:09:00,0:17:08,"722 Central Ave SW, Albuquerque, NM 87102, USA","Ycc Trail, Albuquerque, NM 87104, USA",30790157,1563039
1645,1645,May,1690558,1221572,2019-05-27 20:53:00,2019-05-27 21:23:00,0:30:15,"2901 Central Ave NE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36395463,1563318
1646,1646,May,1690564,6813583,2019-05-27 20:53:00,2019-05-27 21:09:00,0:16:39,"722 Central Ave SW, Albuquerque, NM 87102, USA","Paseo del Bosque Trail, Albuquerque, NM 87104, USA",30790204,1563043
1647,1647,May,1690585,8512185,2019-05-27 20:54:00,2019-05-27 20:57:00,0:03:29,"351 Washington St SE, Albuquerque, NM 87108, USA","4717 Central Ave NE, Albuquerque, NM 87108, USA",35327347,1562784
1648,1648,May,1690595,7699960,2019-05-27 20:54:00,2019-05-27 21:15:00,0:21:15,"401 2nd St NW, Albuquerque, NM 87102, USA","330 Tijeras Ave NW, Albuquerque, NM 87102, USA",36405753,1563154
1649,1649,May,1690605,2643593,2019-05-27 20:55:00,2019-05-27 21:23:00,0:28:23,"2550 Central Ave NE, Albuquerque, NM 87106, USA","515 5th St NW, Albuquerque, NM 87102, USA",35612555,1563324
